id,text,label
1,pls check The application keeps crashng https://example.com/support,technical
2,Need hElp asAp WHY WAS i cHaRgeD $35 FOR my oRDeR? pLS CheCk 😭,billing
3,plz    help    pls  check my    recent   transaction?!    https://shop.example.com/order   plz   help  🤦,billing
4,plz   help    <p>...   There is a  duplicate   payment on  my   account?!</div>,billing
5,plz help my order still hasn't arrvied,delivery
6,NEED  HELP   ASAP  I   FORGOT MY LOIGN    DETAILS.,account
7,...   How can I  change  my email   address? 🤦,account
8,WWw.ExampLe.coM/hELP   thE  Refund  amOUnT  oN mY    ACcouNT   Is  iNcOrRect!!!! 🙏,billing
9,I AM GETTING AN ERRROR MSG,technical
10,<STRONG>?? THE SCREEN GOES BLANK WHEN I OPEN THE APP.</DIV> 😢,technical
11,The  app  keeps  crashing.,technical
12,😤   <SPAN>THE PACKAGE WAS SUPPOSED    TO ARRIVE    YESTERDAY.</SPAN>    PLS   HELP,delivery
13,u  guys pls  help    I have    been   waiting   for  my  order 4   several    days!?!,delivery
14,🙏 pls check www.example.com/help <p>I am unable to access my profile!!</span>,account
15,need help asap <span>the system is not responding 2 my requests??</p> 🤦,technical
16,<p><b>I    was charged even though  my   order   was   cancelled.</span>,billing
17,https://example.com/account <p>... My invoice shows the wrong amount...</b></p> 🙏,billing
18,🙏 <div>The  pacage    is  missing?!</b>,delivery
19,💳    <p><b>??    thE    PayMENT  AmOUNt   looKS  wroNG!?!</diV>   PLz  hELP,billing
20,The tracking information has not changed. let me know asap,delivery
21,My acc has been locked.,account
22,?? the website stopped responding??? let me know asap,technical
23,i need HElp REcoVeriNG My aCcOunt.,account
24,NEeD hElP AsAP ThEre IS A DupliCaTe PaymNEt on mY acCOUNt.,billing
25,u GuyS Pls hElp There is a dupliCATE PAYmenT On My ACcouNt??,billing
26,💳 can u help ... The tracking info has not changed.,delivery
27,😢 need help asap ?? My shipment appears to be delayed???,delivery
28,need help asap <p><b>My account has been locked.</div> 😤,account
29,neEd  heLP   asAP    mY    InVoiCe    SHoWS The wRONg   AmoUNT??? tHx,billing
30,pls check  ... i    am    getting an error   message.    https://example.com/help   thx    pls,technical
31,THERE IS A DUPLICATE PAYMANT ON MY ACCOUNT.,billing
32,<strong>i was charged twice for the same purchase??</b></p> thx,billing
33,<div>Can u check the status of my delivary?</b> 😤,delivery
34,my account   is  locked!!!!,account
35,🙏    need    help  asap    I    am  getting   an  error  message.   https://example.com/account,technical
36,HI plS My orDeR WAs EXPeCtEd tOdAy buT HAsN't aRriVed. 😢,delivery
37,🙏 <strong>Why was I charged $120 for my order?!</b> www.example.com/help thx,billing
38,😤 can u help the webiste stopped responding... can u check,technical
39,<strong>Can you explain this charge on my bill?!</strong> thx,billing
40,CAN U HELP <SPAN>CAN YOU EXPLAIN THIS CHARGE ON MY BILL?</B></P>,billing
41,ThE  Page  KeepS  sHOWinG  AN  Error. HtTPS://sHoP.eXaMPlE.cOm/OrdER,technical
42,I  am    having a    technical problm   w/   the   applcation,technical
43,... I FORGOT MY PASSORD!!!,account
44,I WOULD LIKE TO DISPUTE A CHARGE?!,billing
45,http://support.example.com How can I reset my pw?! plz help,account
46,PLs checK <diV>my CaRD WaS CHArged but THE paYMAnt faIlEd!?!</P> hTTPS://ExaMplE.Com/ACCOunt,billing
47,pls check <span>The webiste is not loading properly!!!</p> http://support.example.com thx pls,technical
48,https://example.com/support i was billed more than i expected.,billing
49,PLS CHECK THE APP STOPS WORKIN WHENEVER I OPEN IT??? HTTPS://SHOP.EXAMPLE.COM/ORDER PLS CHECK 🙏,technical
50,can u help <span>Can you tell me when my package will arrive??</span>,delivery
51,😢   pls   check   My    accout   credentials  r not   working!!,account
52,HEY PLS HELP <SPAN>WHEN SHOULD I EXPECT MY PACKAGE?!</P> 😭,delivery
53,My package has not arrived yet???,delivery
54,I was chared twice 4 the same purchase?! plz help,billing
55,u guys pls help Can you help me recover my password? https://shop.example.com/order,account
56,I AM UNABLE TO ACCESS MY PROFILE. 😭,account
57,PLS HELP HTTP://SUPPORT.EXAMPLE.COM WHY IS THERE AN ADDITIONAL FEE ON MY BILL?,billing
58,tHe SYStem is EXTREMElY SLoW?! pLS chECK,technical
59,https://example.com/help    The    app suddenly    closes   by    itself.,technical
60,<b>The website gives me an error every time.</p> pls help,technical
61,<div>... There is a duplicate payment on my account.</div> 😕,billing
62,🤦 i would like to dispute a charge!!!! www.example.com/help,billing
63,😡 I need to update my account information.,account
64,??    The    courier has  not   delivered    my order!! http://support.example.com    pls check,delivery
65,<P>!!!  SOMETHING IS   WRONG   WITH  THE   APPLICATION.</P>,technical
66,<p><b>?? there    is   an    incorrect   charge   on   my  accout</span>    plz    help,billing
67,pls   check   https://example.com/support  I cant  get   the website  2 work!!,technical
68,<p>When should I expect my package?</strong>,delivery
69,pls check http://support.example.com The app crashes whenever I try to place an order. thx pls,technical
70,need help asap www.example.com/help <p>I cant get the webiste to work.</div>,technical
71,hey pls help http://support.example.com i cant log into my acct,account
72,pls   check  The website    stopped responding.,technical
73,My  lgoin  is   not    working...,account
74,HtTPs://ShoP.eXAmplE.Com/OrdeR ?? wHerE is My oRDeR? Pls cHECK,delivery
75,?? there is a duplicate payment on my acount pls help,billing
76,<p>?? my shipment appears to be delayed!!!</b></p> 💳,delivery
77,<P>i    AM HAVinG  TrOubLe    siGNINg    iNtO    tHE  WeBSIte.</p>    WwW.eXAmPle.com/HeLp,account
78,plz help <div>Can you tell me when my package will arrive!!!</span> can u check 😭,delivery
79,plS    chECK    <Span>I   NEed   tO RESet  MY LOGIN INforMaTion.</b></p>   📦,account
80,<b>Can u help me recover my password?</b></p>,account
81,MY ACCOUNT IS LOCKED. 😭,account
82,u   guys   pls   help <span>My shipment   appears to    be    delayed!!!</p>,delivery
83,U GUYS PLS HELP <P><B>!!! I NEED 2 RESET MY LOGIN INFO</P>,account
84,hi  pls   www.example.com/help   !!!   the   application  is freezing    repeatedly.,technical
85,hey pls  help  <b>I   forgot my  pw!!</strong>  thx    pls,account
86,need help  asap    my  account  has  been    locked?! can  u    check,account
87,!!! I NEED HELP UNDERSTANDING MY LATEST BILL. PLZ HELP,billing
88,NEED    HELP    ASAP  HTTP://SUPPORT.EXAMPLE.COM    !!!   THE   SEARCH    FEATURE    IS  NOT    WROKING,technical
89,😡  can   u   help    !!!   there is   an   incorrect  charge on    my    account!!!,billing
90,The  app  suddenly   closes by itself!!,technical
91,📦 <dIv>i am StiLl waitiNg fOR mY SHipEment</dIV>,delivery
92,😩    <STRONG>THE  APPLICATION   IS FREEZING    REPEATEDLY.</SPAN>    HTTPS://EXAMPLE.COM/ACCOUNT,technical
93,need  help asap    <span>I   am unable  to   access  my  profile.</span>  https://example.com/help   🤦,account
94,<p>The search feature is not working.</strong>,technical
95,need help asap <strong>the website gives me an error every time!!</strong> pls check,technical
96,<B>plz ChECK mY rEcEnT TrANsactioN.</DiV>,billing
97,hTTPS://eXamPLe.Com/HeLP <spaN>THe SySteM IS NOT responDinG tO mY rEqUeStS?!</dIv> 😭,technical
98,<p>The  amount    on my   invioce is incorrect.</strong>,billing
99,hey  pls  help  My   shipment   appears   2  be  delayed!!! thx,delivery
100,<P>i hAve BeeN waIting fOr my oRdER 4 sEVeRal dAys.</SpaN>,delivery
101,www.example.com/help <b>the    payment  amount  looks wrong???</span>,billing
102,😡 <P>MY DELIVERY IS LATE.</B>,delivery
103,pls help https://example.com/support ?? There is a duplicate payment on my account!! 🙏,billing
104,can u help http://support.example.com my package has not arrived yet.,delivery
105,<p><b>Where is my order???</p> pls check,delivery
106,plz help <strong>Can you explain this charge on my bill?</div> pls help,billing
107,need help asap there is an incorrect chage on my account??,billing
108,u guys pls help ... I don't recognize this charage of $100!! https://example.com/support,billing
109,😡 <SPan>the syStem is nOt respONdIng tO MY rEqUesTS...</b></p>,technical
110,hi pls The delivery is taking too long...,delivery
111,I cannot log into my account?? 😤,account
112,pls check the app freezes on the login screen!!!! 🤦,technical
113,https://example.com/help When   should    I   expect   my   package!!,delivery
114,HTTPS://EXAMPLE.COM/HELP MY ACC HAS BEEN LOCKED.,account
115,NEED HELP ASAP <SPAN>THE APP CRASHES WHENEVER I TRY 2 PLACE AN ORDER.</SPAN>,technical
116,need help asap <b>The package is missing!!!</strong> pls check,delivery
117,plz help ?? can you explain this charge on my bill? http://support.example.com pls check,billing
118,?? i need help understanding my latest bill!!!,billing
119,https://example.com/account !!! i don't recognize this charge of $35??,billing
120,📦 I was charaged even though my order was cancelled. thx pls,billing
121,pls help  My   order  still    hasn't   arrived??  www.example.com/help,delivery
122,u guys pls help ... Can you help me recover my password...,account
123,pls check  my    recent   transaction!!!! https://shop.example.com/order  can u   check   💳,billing
124,<p><B>ThE ScREen GOES BlaNk wHen i opEn THe aPP!!!!</div> CaN u Check,technical
125,😭 hi pls I need help recovering my acc...,account
126,I  WAS    BILLED  MORE   THAN   I    EXPECTED.,billing
127,... Why was I charged $75 4 my order? http://support.example.com,billing
128,I am getting an errror msg!?!,technical
129,need help asap please check my recent transaction. thx,billing
130,<b>I was charged even though my order was cancelled.</b>,billing
131,<P>THE SYSTEM IS NOT RESPONDING 2 MY REQUESTS.</SPAN> HTTPS://EXAMPLE.COM/ACCOUNT 🙏,technical
132,PLS HELP HOW DO I CHANGE MY PASSORD?,account
133,hey pls help My account is locked.,account
134,https://example.com/support <b>My shipment has not been delivered.</b> can u check,delivery
135,THE WEBSITE GIVES ME AN ERROR EVERY TIME. THX 🤦,technical
136,WHY WAS I CHARAGED $5 FOR MY ORDER?,billing
137,😕 why is there an additional fee on my bill!!!! thx pls,billing
138,PLZ HELP I NEED TO RESET MY LOGIN INFORMATION!!,account
139,pls help The application keeps crashing.,technical
140,plZ help i am STiLl WaiTIng fOR mY ShipMENt?! Pls helP,delivery
141,pls help ... I am unable 2 sign in.,account
142,hey pls help <strong>the refund amount on my account is incorrect.</span>,billing
143,http://support.example.com ...   I have  a problem w/ my    latest invoice.,billing
144,I WaS chaReD twiCE FoR ThE SAmE pURChASe. WWw.eXaMplE.COM/heLp,billing
145,😭 i don't recognize this charge of $150!!!! www.example.com/help,billing
146,HEy pLS HElP <B>ThE weBisTE IS NOT LoaDinG PrOperlY.</span> 😡,technical
147,hi pls I was charged twice 4 the same purchase... pls check,billing
148,😕 plz help <p><b>I cannot remember my username!!!</strong>,account
149,need help asap ?? I have been waiting for my order for several days?!,delivery
150,tHe APPLiCAtIOn Is frEEZiNg REPEaTeDLy?! THX,technical
151,hi pls <b>?? The website stopped responding.</b> 😩,technical
152,😕   NEED HELP    ASAP ??   THE    APP  SUDDENLY CLOSES   BY  ITSELF!!!,technical
153,<SPAN>?? I HAVE NOT RECEIVED MY DELIVERY.</P> LET ME KNOW ASAP 😤,delivery
154,<SPAN>I NEED HELP!!! UNDERSTANDING MY LATEST BILL!?!</P> LET ME KNOW ASAP,billing
155,HI PLS ... SOMETHING IS WRONG WITH THE APP THX PLS,technical
156,hey   pls   help Why    can't  I    sign into my    acount???  thx pls,account
157,I    am  unable  to    access my   profile!!!!    https://example.com/account thx,account
158,The search feature is not working.,technical
159,<strong>i need 2 update my account info</b></p>,account
160,<p>I was   billed    more    than I   expected.</div>,billing
161,😩 pls check <strong>... I cannot access my accont</b>,account
162,PLZ HELP I HAVE BEEN WAITING FOR MY ORDER FOR SEVERAL DAYS.,delivery
163,The courier has not delivered my order?? https://example.com/support thx pls,delivery
164,😭 The application freezes on the login screen.,technical
165,!!! the paCagE Is MIssiNg??? HTTPs://EXamPle.Com/accoUnt,delivery
166,need help asap ?? I need help recovering my account. 💳,account
167,http://support.example.com <b>My    order still    hasn't    arrived!!!!</p> 😡,delivery
168,<div>I    am unable to   sign  in.</b>  https://example.com/support,account
169,💳 Https://eXAmPLE.COm/helP the websITE SToppeD reSpoNdINg!?! THx pLs,technical
170,the delivary    is   taking   too   long!!!!,delivery
171,u guys pls   help   <div>My   payment  was  processed twice!!</div>,billing
172,😩 ?? i hAVE not rEceived my DElIveRy.,delivery
173,U GUYS PLS HELP <B>THE AMOUNT ON MY INVOICE IS INCORRECT.</SPAN> HTTPS://EXAMPLE.COM/SUPPORT PLS CHECK 😩,billing
174,<span>?? My    accout   is locked.</div>   pls   check,account
175,pls help https://example.com/support <p><b>something is wrong with the application.</b></p> 💳,technical
176,😡   pls    help   <strong>The payment  amount    looks   wrong?!</strong>,billing
177,need help asap <span>?? the courier has not delivered my order!!!</b>,delivery
178,!!! why is there an additional fee on my bill? plz help,billing
179,my shipment has not been delivered. www.example.com/help let me know asap,delivery
180,😤 pls    help    https://example.com/account   <div>I am    having    a  technical    problem   with   the  application???</p> plz  help,technical
181,can u help <strong>?? i am having a technical probelm w/ the app!!!!</b> let me know asap,technical
182,<strong>My payment was processed twice.</span> plz help,billing
183,Can you tell me when my package will arrive!!!,delivery
184,<DIV>PLEASE CHECK MY RECENT TRANSACTION???</STRONG> PLS HELP,billing
185,😤    <b>...  My shipment has  not   been delivered.</b>,delivery
186,😭 hi    pls ?? I was chared  even  though    my    order    was  cancelled.    thx pls,billing
187,the page  keeps showing  an error!!!    http://support.example.com thx  pls,technical
188,?? There is an incorrect charge on my accout,billing
189,need help asap <span>the page keeps showing an error.</span> thx 🙏,technical
190,🤦 Need HeLP AsaP <SPaN>... CaN yOu ExpLAiN THIs chargE on my BiLL?</SPAn>,billing
191,pls CHEck I AM haVInG a TEcHniCal prObLEm with tHe aPplIcAtION. PLS CHeck,technical
192,PLs ChECk    i  haVE   bEen   WAitInG    fOR   My    ORDER   FOr   SEVERAL    DAYs???   😭,delivery
193,HI PLS <diV>I haVE a PROBem w/ My lATEST InvoICe.</p>,billing
194,can    u  hElp    ...   I    NEED HELp   UndeRStaNdIng  MY  lAtEsT  bIll...,billing
195,HTTP://SUPPORT.EXAMPLE.COM MY SHIPMENT HAS NOT BEEN DELIVERED. THX,delivery
196,😡   <div>!!! Something is    wrong  with  the app</strong>    https://example.com/account  plz  help,technical
197,WWW.EXAMPLE.COM/HELP THE APPLICATION IS FREEZING REPEATEDLY!?! PLS HELP,technical
198,📦 hi pls I have been waiting 4 my order for several days. thx,delivery
199,hi    pls    I    would   like 2  dispute   a   charge.    pls help  😭,billing
200,<p><b>... the system is not responding 2 my requests??</p>,technical
201,plz help https://shop.example.com/order I have been waiting for my order 4 several days. 😩,delivery
202,HI pLS CAn U ChecK the sTatus Of mY deLVery??? PlS HELp,delivery
203,plz help !!! my card was charged but the payment failed. let me know asap,billing
204,need help asap why is there an additional fee on my bill!!! https://example.com/account,billing
205,i am unable to sign in. pls help 🙏,account
206,<p>?? the system is extremely slow!!</span> 📦,technical
207,<B>I NEed 2 UPdaTe my aCcOut iNFO</sTRoNg> 😕,account
208,hi pls   !!!  i was  chargd    twice  4    the  same purchase.,billing
209,HTTPS://EXAMPLE.COM/SUPPORT I HAVE NOT RECEIVED MY DELIVERY. 😕,delivery
210,pls help my logn is not working!?!,account
211,PlZ   heLP   <b>The  coURier    HaS  not   dELIVEReD   mY    ORDEr?!</b>,delivery
212,I am unable 2 access my profile.,account
213,hi pls Something is wrong with the application. thx,technical
214,hey pls help https://example.com/help I am having a technical problem with the app?? can u check,technical
215,I was chargd twice for the same purchase... 😢,billing
216,PLZ  HELP    HTTPS://SHOP.EXAMPLE.COM/ORDER  ...   I    WAS    CHARGED   EVEN    THOUGH MY   ORDER WAS  CANCELLED. PLS CHECK,billing
217,can u help The system is not responding 2 my requests. thx,technical
218,The courier has not delivered my order. https://example.com/account can u check 🙏,delivery
219,www.example.com/help   <span>There    is    an   incorrect charge  on  my  acct</strong>   can  u check,billing
220,📦    plz   help  <b>??   My  acct    has    been  locked??</span>,account
221,The delivery date has passed!?!,delivery
222,<p><b>!!! i cannot upload my file.</b>,technical
223,😭 HtTP://supPORT.exAmPLE.coM My OrDER STilL hasn't arriveD.,delivery
224,<div>...  how   do   i    change    my    password?</strong>   can u   check,account
225,HI    PLS   ... THE  APP   CRASHES  WHENEVER    I   TRY TO    PLACE    AN    ORDER.,technical
226,😢 can u help How can I change my email address?! plz help,account
227,<b>I cant get the website to work?!</b>,technical
228,<span>the app crashes whenever i try to place an order.</b></p>,technical
229,<p>please    check    my   recent transaction??</strong>,billing
230,hey pls   help    The    app    crashes whenever   I   try    to place    an order.,technical
231,can    u help  <p>!!!  I   need    to reset    my  login    information.</span>  https://example.com/support,account
232,need help asap <span>... the tracking info has not changed.</strong>,delivery
233,u guys pls help my account is locked. 😩,account
234,I am unable 2 access my profile!!!!,account
235,NEED HELP ASAP <DIV>WHY WAS I CHARGED $20 FOR MY ORDER??</DIV> LET ME KNOW ASAP,billing
